Produto;Volume (ML);Precos;Parcela
Lagoalva Tinto 2021;750.0;124.0;2
Luis Pato Maria Gomes 2023;750.0;149.0;2
Altano 2021;750.0;149.0;2
Petit Caro 2021;750.0;173.0;2
Los Vascos Cabernet Sauvignon 2022;750.0;175.0;2
La Vieille Ferme Rouge 2023;750.0;178.0;2
Luis Pato Baga Touriga Nacional 202...;750.0;181.0;2
Bordeaux Signatures Rouge 2020;750.0;187.0;2
Basa Rueda 2022;750.0;193.0;2
Graham's Fine Tawny;750.0;196.0;2
Saint Felicien Malbec 2023;750.0;197.0;2
Regaleali Le Rosé 2022;750.0;203.0;2
Catena Cabernet Sauvignon 2022;750.0;210.0;2
Regaleali Nero d'Avola 2022;750.0;210.0;2
Regaleali Bianco 2023;750.0;210.0;2
Lapostolle Grand Selection Cabernet...;750.0;212.0;2
Catena Malbec 2022;750.0;222.0;2
Alma Negra M Blend 2022;750.0;225.0;2
Famille Perrin Côtes-du-Rhône Réser...;750.0;250.0;2
El Enemigo Chardonnay 2022;750.0;250.0;2
DV Catena Cabernet-Malbec 2022;750.0;260.0;2
Braccale 2022;750.0;262.0;3
Los Vascos Cromas Gran Reserva Cabe...;750.0;269.0;3
Los Vascos Cromas Gran Reserva Carm...;750.0;269.0;0
Coelheiros Branco 2023;750.0;275.0;0
Dehesa La Granja 2020;0.0;275.0;0
Alma Negra Tinto 2021;0.0;279.0;0
Château Marjosse Blanc 2022;0.0;281.0;0
Beaujolais-Villages 2022;0.0;287.0;0
El Enemigo Malbec 2021;0.0;294.0;0
Amancaya 2021;0.0;294.0;0
El Vinculo Crianza 2020;0.0;306.0;0
Château Marjosse Rouge 2022;0.0;310.0;0
